id_inquilino,variable1,variable2,variable3,variable4,variable5,variable6,variable7,variable8,variable9,variable10,variable11,variable12,variable13,variable14,variable15,variable16,variable17
1,noche,nocturno,secundaria,si,no,no,con mascotas,pedir comida,si,si,si,si,relajada,reggaeton,no,casa,si
2,noche,nocturno,secundaria,no,no,no,con mascotas,pedir comida,no,no,si,si,relajada,reggaeton,si,casa,si
3,noche,madrugador,universitaria,no,no,si,con mascotas,pedir comida,no,no,si,no,ordenada,pop,no,casa,no
4,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,si,no,no,si,relajada,rock,si,casa,si
5,mañana,nocturno,universitaria,si,no,no,sin mascotas,cocinar,no,no,no,no,relajada,pop,no,casa,no
6,noche,madrugador,secundaria,no,si,no,con mascotas,cocinar,si,si,si,si,relajada,clasica,si,salir,si
7,mañana,madrugador,universitaria,si,no,no,con mascotas,cocinar,no,no,no,no,ordenada,pop,no,casa,no
8,mañana,madrugador,universitaria,si,si,no,sin mascotas,cocinar,si,no,no,si,ordenada,rock,no,casa,no
9,mañana,nocturno,universitaria,no,si,no,con mascotas,cocinar,si,si,si,no,relajada,clasica,si,casa,si
10,noche,madrugador,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,si,ordenada,pop,si,salir,si
11,mañana,nocturno,universitaria,si,no,si,sin mascotas,cocinar,no,no,no,si,ordenada,pop,no,casa,no
12,mañana,nocturno,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,clasica,si,salir,si
13,noche,madrugador,universitaria,no,si,no,con mascotas,pedir comida,no,si,si,si,relajada,clasica,si,salir,si
14,mañana,madrugador,primaria,si,no,si,con mascotas,cocinar,si,no,si,no,relajada,rock,no,casa,no
15,noche,nocturno,primaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,clasica,si,salir,si
16,noche,madrugador,universitaria,si,no,si,sin mascotas,cocinar,no,no,no,no,ordenada,rock,no,casa,no
17,mañana,madrugador,secundaria,si,si,si,con mascotas,cocinar,no,no,no,si,ordenada,pop,no,casa,no
18,noche,nocturno,universitaria,si,si,no,con mascotas,pedir comida,si,si,si,si,relajada,rock,si,casa,si
19,mañana,madrugador,universitaria,no,no,no,sin mascotas,cocinar,no,no,no,no,relajada,clasica,no,casa,no
20,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,clasica,si,casa,si
21,mañana,madrugador,primaria,si,no,no,sin mascotas,cocinar,si,no,si,si,ordenada,rock,no,casa,no
22,mañana,madrugador,universitaria,si,no,si,sin mascotas,cocinar,si,si,no,no,ordenada,pop,no,casa,no
23,noche,madrugador,secundaria,no,si,no,con mascotas,pedir comida,si,si,si,no,relajada,pop,si,salir,si
24,mañana,madrugador,primaria,si,no,si,sin mascotas,pedir comida,no,no,no,no,ordenada,rock,no,casa,no
25,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,clasica,no,salir,si
26,mañana,nocturno,primaria,no,no,si,sin mascotas,cocinar,no,no,no,no,relajada,pop,no,casa,no
27,noche,nocturno,universitaria,no,si,si,con mascotas,pedir comida,no,si,si,no,ordenada,clasica,si,salir,si
28,noche,madrugador,secundaria,no,no,si,con mascotas,pedir comida,si,si,no,si,relajada,clasica,si,salir,si
29,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,no,si,si,no,relajada,clasica,si,casa,si
30,noche,nocturno,secundaria,si,si,no,con mascotas,pedir comida,si,si,no,si,relajada,reggaeton,si,salir,si
31,mañana,madrugador,primaria,no,no,si,con mascotas,cocinar,no,si,si,no,ordenada,clasica,no,casa,no
32,mañana,madrugador,universitaria,si,no,si,sin mascotas,cocinar,no,no,no,no,relajada,pop,no,casa,no
33,noche,nocturno,secundaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,reggaeton,si,casa,si
34,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,no,si,no,si,ordenada,clasica,si,salir,si
35,noche,madrugador,secundaria,si,si,no,con mascotas,pedir comida,si,no,si,si,relajada,reggaeton,no,salir,si
36,mañana,madrugador,universitaria,no,no,si,sin mascotas,cocinar,si,no,no,si,relajada,pop,si,casa,no
37,mañana,nocturno,secundaria,si,no,no,con mascotas,pedir comida,si,si,si,si,relajada,pop,si,casa,si
38,mañana,madrugador,universitaria,si,no,si,sin mascotas,cocinar,no,no,no,no,ordenada,pop,no,casa,no
39,noche,nocturno,secundaria,no,si,no,con mascotas,pedir comida,si,si,si,no,relajada,reggaeton,si,salir,si
40,mañana,madrugador,primaria,si,no,si,sin mascotas,cocinar,no,no,no,no,ordenada,pop,si,casa,no
41,noche,nocturno,primaria,si,no,si,sin mascotas,cocinar,no,no,no,no,ordenada,rock,no,casa,no
42,noche,madrugador,secundaria,no,si,no,con mascotas,cocinar,si,no,si,no,relajada,reggaeton,si,salir,si
43,noche,nocturno,universitaria,no,no,no,sin mascotas,pedir comida,si,si,si,si,relajada,clasica,si,salir,si
44,mañana,nocturno,universitaria,no,si,no,sin mascotas,pedir comida,no,si,si,si,relajada,clasica,si,salir,si
45,mañana,madrugador,universitaria,si,no,si,sin mascotas,cocinar,no,si,no,no,ordenada,clasica,no,casa,no
46,noche,madrugador,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,si,ordenada,clasica,no,casa,si
47,mañana,nocturno,primaria,si,no,si,sin mascotas,cocinar,si,no,no,no,ordenada,rock,no,casa,no
48,noche,nocturno,primaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,rock,si,casa,si
49,mañana,madrugador,universitaria,si,no,no,sin mascotas,cocinar,no,no,no,no,ordenada,pop,no,casa,no
50,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,no,si,si,si,ordenada,clasica,si,salir,si
51,mañana,madrugador,primaria,si,no,si,con mascotas,cocinar,no,si,si,si,ordenada,rock,no,casa,no
52,mañana,madrugador,primaria,si,no,si,con mascotas,cocinar,no,si,no,no,ordenada,rock,si,casa,no
53,mañana,madrugador,universitaria,si,no,si,sin mascotas,pedir comida,no,no,no,no,ordenada,pop,no,casa,no
54,noche,madrugador,secundaria,no,si,no,con mascotas,pedir comida,si,si,si,si,relajada,reggaeton,no,salir,si
55,noche,madrugador,secundaria,no,si,no,con mascotas,pedir comida,si,si,no,si,relajada,reggaeton,no,salir,si
56,noche,madrugador,secundaria,no,si,no,con mascotas,cocinar,si,si,si,si,relajada,reggaeton,no,salir,si
57,noche,nocturno,secundaria,no,si,no,con mascotas,pedir comida,no,si,no,si,relajada,reggaeton,no,salir,si
58,noche,nocturno,universitaria,no,si,no,sin mascotas,cocinar,si,si,si,si,relajada,reggaeton,si,salir,si
59,noche,nocturno,universitaria,no,si,no,con mascotas,pedir comida,si,si,si,si,ordenada,pop,si,salir,si
60,mañana,nocturno,primaria,si,no,si,sin mascotas,cocinar,si,si,no,no,ordenada,rock,no,casa,no
61,noche,nocturno,secundaria,no,no,si,con mascotas,pedir comida,si,no,si,no,ordenada,reggaeton,no,salir,si
62,mañana,madrugador,universitaria,no,no,si,con mascotas,pedir comida,si,si,no,no,relajada,pop,no,casa,no
63,noche,nocturno,secundaria,si,si,no,con mascotas,pedir comida,si,si,no,si,relajada,reggaeton,no,salir,no
64,mañana,madrugador,universitaria,no,no,si,sin mascotas,pedir comida,si,no,si,no,ordenada,pop,no,salir,no
65,noche,nocturno,secundaria,no,si,no,con mascotas,cocinar,si,si,no,si,relajada,reggaeton,si,salir,si
66,mañana,madrugador,secundaria,no,no,si,con mascotas,cocinar,no,no,no,no,ordenada,rock,no,casa,no
